Advertiser,Advertiser ID,Advertiser Currency,Insertion Order,Insertion Order ID,Line Item,Line Item ID,Date,Campaign,Campaign ID,Impressions,Billable Impressions,Clicks,Click Rate (CTR),Revenue (Adv Currency),Media Cost (Advertiser Currency)
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00545 | 273038,51362983,2021/06/07,CA00106|IO00106,6398546,1476,1476,1,0.068%,Rs.55.905794,Rs.50.939220
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00546 | 273038,51420554,2021/06/07,CA00106|IO00106,6398546,1294,1294,1,0.077%,Rs.47.869238,Rs.43.616617
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00547 | 273038,51419167,2021/06/07,CA00106|IO00106,6398546,1460,1460,1,0.068%,Rs.54.714222,Rs.49.853505
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00548| 273037,51423005,2021/06/07,CA00106|IO00106,6398546,1473,1473,2,0.136%,Rs.55.302856,Rs.50.389846
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00549 | 273037,51423007,2021/06/07,CA00106|IO00106,6398546,1288,1288,0,0.000%,Rs.48.106938,Rs.43.833201
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00550 | 546075,51423006,2021/06/07,CA00106|IO00106,6398546,3057,3057,1,0.033%,Rs.112.912363,Rs.102.881423
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00551 | 170648,51421343,2021/06/07,CA00106|IO00106,6398546,677,677,0,0.000%,Rs.24.758209,Rs.22.558732
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00552 | 170648,51421342,2021/06/07,CA00106|IO00106,6398546,667,667,0,0.000%,Rs.25.104499,Rs.22.874259
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00553 | 170648,51423181,2021/06/07,CA00106|IO00106,6398546,684,684,0,0.000%,Rs.26.063788,Rs.23.748326
Billion Tags - Self Serve DV360,603507047,INR,CA00106|IO00106|2593855,20514448,CA00106|IO00106| LI00554 | 170648,51422676,2021/06/07,CA00106|IO00106,6398546,669,669,0,0.000%,Rs.25.267227,Rs.23.022530
Billion Tags - Self Serve DV360,603507047,INR,Western Union - UK - Ecuadorians,19669846,Western Union - UK - Ecuadorians,49521508,2021/06/07,billiontags,5196975,11519,11519,6,0.052%,Rs.413.621293,Rs.376.875891
Billion Tags - Self Serve DV360,603507047,INR,Western Union - UK - Nelaplese,19308361,Nelaplese,48817260,2021/06/07,billiontags,5196975,9036,9036,20,0.221%,Rs.421.125250,Rs.383.713210
Billion Tags - Self Serve DV360,603507047,INR,Western Union - UK - Sinhalese,19311272,Sinhalese,48819671,2021/06/07,billiontags,5196975,8692,8692,11,0.127%,Rs.328.900855,Rs.299.681871
Billion Tags - Self Serve DV360,603507047,INR,Western Union UK_Pakistani,18946454,Pakistani,48199258,2021/06/07,billiontags,5196975,14055,14055,5,0.036%,Rs.546.042401,Rs.497.532936
,,,,,,,,,,368834,368834,188,0.051%,"Rs.17,874.793330","Rs.16,380.218187"
,,,,,,,,,,,,,,,
Report Time:,2021/06/08 11:00 GMT,,,,,,,,,,,,,,
Date Range:,2021/06/07 to 2021/06/07,,,,,,,,,,,,,,
Group By:,Advertiser,,,,,,,,,,,,,,
Group By:,Advertiser ID,,,,,,,,,,,,,,
Group By:,Advertiser Currency,,,,,,,,,,,,,,
